City,Population,Plant,HCN_Result,ac1.3,ac2.2,ac5.3,li4.0,li7.0,li9.3,haplotype_Ac,haplotype_Li,haplotype_all,Distance,Habitat
Baltimore,4,7,0,0,0,0,0,0,0,unk,li>11,unk-li>11,0.794049111534702,Urban
Baltimore,4,8,0,1,1,1,0,1,1,Ac,li6.6,Ac-li6.6,0.794049111534702,Urban
Baltimore,4,13,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,0.794049111534702,Urban
Baltimore,4,14,0,0,1,1,0,1,0,ac2.2,li6.6DD,ac2.2-li6.6DD,0.794049111534702,Urban
Baltimore,4,15,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,0.794049111534702,Urban
Baltimore,5,3,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,0.541863512503005,Urban
Baltimore,5,4,0,0,1,1,0,0,0,ac2.2,li>11,ac2.2-li>11,0.541863512503005,Urban
Baltimore,5,10,0,1,1,1,0,1,1,Ac,li6.6,Ac-li6.6,0.541863512503005,Urban
Baltimore,6,8,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,1.32950247985673,Urban
Baltimore,6,13,0,0,1,1,0,1,0,ac2.2,li6.6DD,ac2.2-li6.6DD,1.32950247985673,Urban
Baltimore,7,3,0,1,1,1,0,1,1,Ac,li6.6,Ac-li6.6,1.50557803964201,Urban
Baltimore,7,5,0,0,1,1,0,0,0,ac2.2,li>11,ac2.2-li>11,1.50557803964201,Urban
Cleveland,36,1,0,0,1,1,0,1,0,ac2.2,li6.6DD,ac2.2-li6.6DD,40.0336857272384,Rural
Cleveland,36,5,0,0,1,1,0,1,0,ac2.2,li6.6DD,ac2.2-li6.6DD,40.0336857272384,Rural
Cleveland,37,1,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,41.2268823143606,Rural
Cleveland,37,3,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,41.2268823143606,Rural
Cleveland,37,5,0,0,0,1,1,1,1,ac5.3,Li,ac5.3-Li,41.2268823143606,Rural
Cleveland,37,6,0,0,0,1,0,1,1,ac5.3,li6.6,ac5.3-li6.6,41.2268823143606,Rural
Cleveland,37,7,0,0,1,1,0,1,0,ac2.2,li6.6DD,ac2.2-li6.6DD,41.2268823143606,Rural
Cleveland,37,13,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,41.2268823143606,Rural
Cleveland,37,14,0,0,0,1,0,0,0,ac5.3,li>11,ac5.3-li>11,41.2268823143606,Rural
Cleveland,37,15,0,0,1,1,0,1,0,ac2.2,li6.6DD,ac2.2-li6.6DD,41.2268823143606,Rural
Cleveland,38,6,0,0,1,1,0,0,0,ac2.2,li>11,ac2.2-li>11,42.3908729059912,Rural
Cleveland,38,7,0,0,0,1,0,1,0,ac5.3,li6.6DD,ac5.3-li6.6DD,42.3908729059912,Rural
Cleveland,38,8,0,0,1,1,0,1,0,ac2.2,li6.6DD,ac2.2-li6.6DD,42.3908729059912,Rural
Cleveland,38,9,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,42.3908729059912,Rural
Cleveland,38,11,0,0,1,1,0,1,0,ac2.2,li6.6DD,ac2.2-li6.6DD,42.3908729059912,Rural
Cleveland,38,13,0,0,0,0,0,1,0,unk,li6.6DD,unk-li6.6DD,42.3908729059912,Rural
Cleveland,38,15,0,0,1,1,0,0,0,ac2.2,li>11,ac2.2-li>11,42.3908729059912,Rural
Cleveland,40,6,0,0,1,1,0,1,0,ac2.2,li6.6DD,ac2.2-li6.6DD,45.0636525277531,Rural
Cleveland,40,10,0,0,0,1,0,1,0,ac5.3,li6.6DD,ac5.3-li6.6DD,45.0636525277531,Rural
Cleveland,40,15,0,0,0,1,0,1,1,ac5.3,li6.6,ac5.3-li6.6,45.0636525277531,Rural
Cleveland,1,1,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,0.891417253729103,Urban
Cleveland,1,4,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,0.891417253729103,Urban
Cleveland,1,6,0,0,0,1,0,1,1,ac5.3,li6.6,ac5.3-li6.6,0.891417253729103,Urban
Cleveland,1,8,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,0.891417253729103,Urban
Cleveland,1,10,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,0.891417253729103,Urban
Cleveland,1,13,0,0,0,1,0,1,1,ac5.3,li6.6,ac5.3-li6.6,0.891417253729103,Urban
Cleveland,2,3,0,0,0,1,0,1,1,ac5.3,li6.6,ac5.3-li6.6,0.476533895010274,Urban
Cleveland,2,6,0,1,1,1,0,1,1,Ac,li6.6,Ac-li6.6,0.476533895010274,Urban
Cleveland,2,9,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,0.476533895010274,Urban
Cleveland,2,10,0,0,1,1,1,1,1,ac2.2,Li,ac2.2-Li,0.476533895010274,Urban
Cleveland,3,1,0,0,0,1,0,1,1,ac5.3,li6.6,ac5.3-li6.6,1.11959695341569,Urban
Cleveland,3,2,0,0,0,1,0,1,0,ac5.3,li6.6DD,ac5.3-li6.6DD,1.11959695341569,Urban
Cleveland,3,5,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,1.11959695341569,Urban
Cleveland,3,12,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,1.11959695341569,Urban
Cleveland,3,14,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,1.11959695341569,Urban
Cleveland,4,9,0,1,1,1,0,1,1,Ac,li6.6,Ac-li6.6,1.601979526693,Urban
Cleveland,4,15,0,0,0,1,0,1,1,ac5.3,li6.6,ac5.3-li6.6,1.601979526693,Urban
Cleveland,5,9,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,2.28876170925244,Urban
Cleveland,6,2,0,0,0,1,0,1,1,ac5.3,li6.6,ac5.3-li6.6,3.28935210249448,Urban
Cleveland,7,1,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,4.05891762268273,Urban
Norfolk,1,6,0,0,1,1,0,1,0,ac2.2,li6.6DD,ac2.2-li6.6DD,36.2893004805217,Rural
Norfolk,1,8,0,0,1,1,0,0,0,ac2.2,li>11,ac2.2-li>11,36.2893004805217,Rural
Norfolk,3,12,0,0,1,1,1,1,1,ac2.2,Li,ac2.2-Li,33.9535825951166,Rural
Norfolk,4,5,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,33.6274978331323,Rural
Norfolk,4,6,0,0,1,1,0,0,0,ac2.2,li>11,ac2.2-li>11,33.6274978331323,Rural
Norfolk,4,7,0,0,0,1,0,1,1,ac5.3,li6.6,ac5.3-li6.6,33.6274978331323,Rural
Norfolk,4,13,0,1,1,1,0,1,0,Ac,li6.6DD,Ac-li6.6DD,33.6274978331323,Rural
Norfolk,5,1,0,0,1,1,0,0,0,ac2.2,li>11,ac2.2-li>11,32.8475081610988,Rural
Norfolk,5,7,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,32.8475081610988,Rural
Norfolk,6,13,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,32.9841223638183,Rural
Norfolk,8,9,0,0,1,1,0,0,1,ac2.2,li9.1,ac2.2-li9.1,31.5700424078012,Rural
Norfolk,9,2,0,0,1,1,0,0,0,ac2.2,li>11,ac2.2-li>11,30.0813005175779,Rural
Norfolk,9,12,0,0,0,1,0,1,1,ac5.3,li6.6,ac5.3-li6.6,30.0813005175779,Rural
Norfolk,10,4,0,0,0,1,0,0,0,ac5.3,li>11,ac5.3-li>11,28.873420821132,Rural
Norfolk,10,7,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,28.873420821132,Rural
Norfolk,11,10,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,28.0544915955349,Rural
Norfolk,13,2,0,0,1,1,0,1,0,ac2.2,li6.6DD,ac2.2-li6.6DD,25.3836623466927,Rural
Norfolk,13,6,0,0,1,1,1,1,1,ac2.2,Li,ac2.2-Li,25.3836623466927,Rural
Norfolk,13,11,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,25.3836623466927,Rural
Norfolk,13,14,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,25.3836623466927,Rural
Norfolk,35,3,0,1,1,1,0,1,0,Ac,li6.6DD,Ac-li6.6DD,0.175078139783024,Urban
Norfolk,35,4,0,0,1,1,0,1,0,ac2.2,li6.6DD,ac2.2-li6.6DD,0.175078139783024,Urban
Norfolk,35,6,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,0.175078139783024,Urban
Norfolk,35,7,0,1,0,1,0,1,1,unk,li6.6,unk-li6.6,0.175078139783024,Urban
Norfolk,35,9,0,0,1,1,0,1,0,ac2.2,li6.6DD,ac2.2-li6.6DD,0.175078139783024,Urban
Norfolk,36,5,0,0,1,1,0,0,0,ac2.2,li>11,ac2.2-li>11,0.427622856428398,Urban
Norfolk,36,9,0,1,1,1,0,1,1,Ac,li6.6,Ac-li6.6,0.427622856428398,Urban
Norfolk,36,10,0,1,1,1,0,0,0,Ac,li>11,Ac-li>11,0.427622856428398,Urban
Norfolk,36,12,0,0,0,1,0,1,1,ac5.3,li6.6,ac5.3-li6.6,0.427622856428398,Urban
Norfolk,38,4,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,0.823939693196717,Urban
Norfolk,38,10,0,0,0,0,0,0,1,unk,li9.1,unk-li9.1,0.823939693196717,Urban
Norfolk,38,12,0,0,1,1,0,1,0,ac2.2,li6.6DD,ac2.2-li6.6DD,0.823939693196717,Urban
Norfolk,38,13,0,NA,NA,1,NA,NA,NA,unk,unk,unk-unk,0.823939693196717,Urban
Norfolk,38,14,0,NA,NA,1,NA,NA,NA,unk,unk,unk-unk,0.823939693196717,Urban
Norfolk,39,3,0,1,1,1,0,1,0,Ac,li6.6DD,Ac-li6.6DD,0.469692379952087,Urban
Norfolk,39,6,0,0,1,1,0,0,0,ac2.2,li>11,ac2.2-li>11,0.469692379952087,Urban
Norfolk,39,9,0,0,1,0,0,0,0,unk,li>11,unk-li>11,0.469692379952087,Urban
Norfolk,40,7,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,1.1155368863391,Urban
Norfolk,40,9,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,1.1155368863391,Urban
Norfolk,40,13,0,0,1,1,0,0,0,ac2.2,li>11,ac2.2-li>11,1.1155368863391,Urban
NewYork,37,7,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,40.5266027276088,Rural
NewYork,37,10,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,40.5266027276088,Rural
NewYork,38,4,0,1,1,1,0,1,1,Ac,li6.6,Ac-li6.6,39.9827232791347,Rural
NewYork,38,9,0,1,0,1,0,1,0,unk,li6.6DD,unk-li6.6DD,39.9827232791347,Rural
NewYork,38,16,0,0,0,1,0,1,1,ac5.3,li6.6,ac5.3-li6.6,39.9827232791347,Rural
NewYork,38,19,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,39.9827232791347,Rural
NewYork,39,1,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,39.3098887395807,Rural
NewYork,39,2,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,39.3098887395807,Rural
NewYork,39,14,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,39.3098887395807,Rural
NewYork,39,16,0,0,0,1,0,1,1,ac5.3,li6.6,ac5.3-li6.6,39.3098887395807,Rural
NewYork,40,11,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,38.117437644702,Rural
NewYork,41,1,0,0,1,1,0,1,1,ac2.2,li6.6,ac2.2-li6.6,37.2897571473098,Rural
