STATION,STATION_NAME,City,ELEVATION,LATITUDE,LONGITUDE,Date,Year,Month,Day,PRCP,SNWD,SNWDcm,SNOW,SNOWcm,TMAX,TMIN
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-09,1981,1,9,0.3,203,20.3,3,0.3,-7.8,-20
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-10,1981,1,10,0,178,17.8,0,0,-7.8,-20.6
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-11,1981,1,11,0,178,17.8,0,0,-11.7,-21.1
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-12,1981,1,12,0.3,178,17.8,3,0.3,-8.3,-20
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-13,1981,1,13,0.3,152,15.2,3,0.3,-3.3,-9.4
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-14,1981,1,14,0,152,15.2,0,0,-2.8,-5.6
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-15,1981,1,15,0.5,152,15.2,10,1,-2.2,-5
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-16,1981,1,16,2.5,178,17.8,53,5.3,-3.3,-10
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-17,1981,1,17,0,203,20.3,0,0,-4.4,-11.7
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-18,1981,1,18,0,203,20.3,0,0,2.8,-12.2
GHCND:USW00094847,DETROIT METROPOLITAN AIRPORT MI US,Detroit,192.9,42.23333,-83.33333,1981-01-19,1981,1,19,0,178,17.8,0,0,3.9,-11.7
