City,Population,Transect,Lat.pop,Long.pop
Philadelphia,18,NA,40.094327,-75.638174
Philadelphia,19,NA,40.087573,-75.628752
Philadelphia,20,NA,40.082367,-75.605694
Philadelphia,21,NA,40.082673,-75.590158
Philadelphia,22,NA,40.073963,-75.578707
Philadelphia,23,NA,40.074997,-75.536514
Philadelphia,24,NA,40.05556,-75.530382
Philadelphia,25,NA,40.040774,-75.505626
Philadelphia,26,NA,40.040831,-75.481985
Philadelphia,27,NA,40.030802,-75.465262
Philadelphia,28,NA,40.021151,-75.448349
Philadelphia,29,NA,40.007312,-75.425707
Philadelphia,30,NA,39.988114,-75.402262
Philadelphia,31,NA,39.983607,-75.37832
Philadelphia,32,NA,39.980592,-75.356671
Philadelphia,33,NA,39.978515,-75.342253
Philadelphia,34,NA,39.974347,-75.327231
Philadelphia,35,NA,39.971222,-75.314631
Philadelphia,36,NA,39.969458,-75.301172
Philadelphia,37,NA,39.967208,-75.289143
Philadelphia,38,NA,39.964146,-75.27453
Philadelphia,39,NA,39.962203,-75.263448
Philadelphia,40,NA,39.962621,-75.254545
Cleveland,1,NA,41.507303,-81.695354
Cleveland,2,NA,41.497375,-81.689261
Cleveland,3,NA,41.499058,-81.68092
Cleveland,4,NA,41.505819,-81.67719
Cleveland,5,NA,41.501417,-81.667019
Cleveland,6,NA,41.501584,-81.654977
Cleveland,7,NA,41.501469,-81.645705
Cleveland,8,NA,41.501213,-81.634998
Cleveland,9,NA,41.500976,-81.614077
Cleveland,10,NA,41.49927,-81.603692
Cleveland,11,NA,41.500653,-81.59176
Cleveland,12,NA,41.500309,-81.577958
Cleveland,13,NA,41.500757,-81.564164
Cleveland,14,NA,41.500936,-81.549246
Cleveland,15,NA,41.500927,-81.531367
Cleveland,16,NA,41.501103,-81.516846
Cleveland,17,NA,41.500338,-81.495004
Cleveland,18,NA,41.499069,-81.476513
Cleveland,19,NA,41.500922,-81.46025
Cleveland,20,NA,41.501954,-81.443846
Cleveland,21,NA,41.500859,-81.430062
Cleveland,22,NA,41.500648,-81.413628
Cleveland,23,NA,41.489897,-81.401355
Cleveland,24,NA,41.490638,-81.386265
Cleveland,25,NA,41.49042,-81.371086
Cleveland,26,NA,41.490174,-81.357096
Cleveland,27,NA,41.490838,-81.343432
Cleveland,28,NA,41.490734,-81.325614
Cleveland,29,NA,41.490408,-81.313267
Cleveland,30,NA,41.488515,-81.300058
Cleveland,31,NA,41.490178,-81.276714
Cleveland,32,NA,41.490074,-81.265466
Cleveland,33,NA,41.489964,-81.251125
Cleveland,34,NA,41.501391,-81.242747
Cleveland,35,NA,41.497438,-81.227512
Cleveland,36,NA,41.493967,-81.213725
Cleveland,37,NA,41.494882,-81.199377
Cleveland,38,NA,41.495885,-81.185382
Cleveland,39,NA,41.498235,-81.172626
Cleveland,40,NA,41.496893,-81.153274
Pittsburgh,1,NA,40.897638,-80.044519
Pittsburgh,2,NA,40.883227,-80.044318
Pittsburgh,3,NA,40.870182,-80.041012
Pittsburgh,4,NA,40.853193,-80.038385
Pittsburgh,5,NA,40.843092,-80.039752
Pittsburgh,6,NA,40.830966,-80.043678
Pittsburgh,7,NA,40.818083,-80.04305
Pittsburgh,8,NA,40.805323,-80.055053
Pittsburgh,9,NA,40.792571,-80.054766
Pittsburgh,10,NA,40.783243,-80.06059
Pittsburgh,11,NA,40.76718,-80.065284
Pittsburgh,12,NA,40.757657,-80.066915
Pittsburgh,13,NA,40.743479,-80.073594
Pittsburgh,14,NA,40.725795,-80.073667
Pittsburgh,15,NA,40.705278,-80.076043
Pittsburgh,16,NA,40.686637,-80.075878
Pittsburgh,17,NA,40.67073,-80.070511
Pittsburgh,18,NA,40.654992,-80.079699
Pittsburgh,19,NA,40.640328,-80.066202
Pittsburgh,20,NA,40.628519,-80.056814
