OVERALL_ID,City,Pop,Transect,Pop_ID,Latitude,Longitude,DistToCore,PopDens,NumPlants,NumCyanogenic,PropCyanogenic,NumAcyanogenic,PropAcyanogenic,NumAcyScreened_Linamarin,NumAcy_Linamarin,PropAcy_Linamarin,TotalScreened_Linamarin,TotalProp_Linamarin,NumAcyScreened_Linamarase,NumAcy_Linamarase,PropAcy_Linamarase,TotalScreened_Linamarase,TotalProp_Linamarase
14,T,14,A,T-14,43.91588458,-79.50046785,30.45482935,13.13879,20,9,0.45,11,0.55,11,6,0.545454545,20,0.75,0,0,,,
15,T,15,A,T-15,43.90683218,-79.49874497,29.45709979,41.11675,20,8,0.4,12,0.6,0,0,,,,12,5,0.416666667,20,0.65
16,T,16,A,T-16,43.89755568,-79.49655792,28.42487122,213.8708,20,6,0.3,14,0.7,14,8,0.571428571,20,0.7,0,0,,,
17,T,17,A,T-17,43.888435,-79.49435467,27.40958567,739.29004,20,16,0.8,4,0.2,0,0,,,,4,4,1,20,1
18,T,18,A,T-18,43.8811002,-79.49240805,26.58912225,255.19814,20,16,0.8,4,0.2,4,2,0.5,20,0.9,0,0,,,
19,T,19,A,T-19,43.87065459,-79.48960918,25.421042,502.77921,20,9,0.45,11,0.55,0,0,,,,10,4,0.4,19,0.684210526
20,T,20,A,T-20,43.86150469,-79.48793643,24.42108968,1341.72778,20,8,0.4,12,0.6,11,5,0.454545455,19,0.684210526,0,0,,,
21,T,21,A,T-21,43.85038448,-79.48520713,23.18850068,1940.37561,20,4,0.2,16,0.8,0,0,,,,16,4,0.25,20,0.4
22,T,22,A,T-22,43.83598273,-79.48183193,21.60093821,4187.61572,20,3,0.15,17,0.85,17,13,0.764705882,20,0.8,0,0,,,
23,T,23,A,T-23,43.82418131,-79.47900514,20.3023869,940.68909,20,6,0.3,14,0.7,0,0,,,,13,6,0.461538462,19,0.631578947
24,T,24,A,T-24,43.81359026,-79.47643065,19.13965044,103.24519,20,11,0.55,9,0.45,9,4,0.444444444,20,0.75,0,0,,,
25,T,25,A,T-25,43.80455856,-79.47471928,18.16767449,3876.34961,20,7,0.35,13,0.65,0,0,,,,16,3,0.1875,23,0.434782609
26,T,26,A,T-26,43.79253295,-79.47182664,16.85949779,3864.22827,20,3,0.15,17,0.85,16,7,0.4375,19,0.526315789,0,0,,,
27,T,27,A,T-27,43.78137166,-79.47130456,15.73281871,101.80779,20,8,0.4,12,0.6,0,0,,,,18,5,0.277777778,26,0.5
28,T,28,A,T-28,43.77236212,-79.46798618,14.72390279,39.48049,20,4,0.2,16,0.8,16,10,0.625,20,0.7,0,0,,,
29,T,29,A,T-29,43.76264866,-79.46586661,13.69924413,4234.15771,20,9,0.45,11,0.55,0,0,,,,11,2,0.181818182,20,0.55
30,T,30,A,T-30,43.75188371,-79.46404388,12.59972112,3679.8103,20,3,0.15,17,0.85,17,1,0.058823529,20,0.2,0,0,,,
31,T,31,A,T-31,43.74526825,-79.43615832,10.8844913,6422.00244,20,4,0.2,16,0.8,0,0,,,,16,3,0.1875,20,0.35
32,T,32,A,T-32,43.7369396,-79.43353511,9.95581456,5154.57178,19,1,0.052631579,18,0.947368421,18,8,0.444444444,19,0.473684211,0,0,,,
33,T,33,A,T-33,43.72485836,-79.43082152,8.657680375,7671.22705,19,7,0.368421053,12,0.631578947,0,0,,,,12,5,0.416666667,19,0.631578947
34,T,34,A,T-34,43.7147905,-79.42897945,7.609965369,5764.28467,20,3,0.15,17,0.85,17,11,0.647058824,20,0.7,0,0,,,
35,T,35,A,T-35,43.70414094,-79.42665935,6.514179791,6898.28369,20,11,0.55,9,0.45,0,0,,,,9,4,0.444444444,20,0.75
36,T,36,A,T-36,43.69416336,-79.42296751,5.448731358,4802.37744,20,8,0.4,12,0.6,12,10,0.833333333,20,0.9,0,0,,,
37,T,37,A,T-37,43.68315226,-79.41975321,4.372424037,6814.25293,20,4,0.2,16,0.8,0,0,,,,16,3,0.1875,20,0.35
38,T,38,A,T-38,43.67198534,-79.41420663,3.249424607,7987.03516,20,1,0.05,19,0.95,19,7,0.368421053,20,0.4,0,0,,,
39,T,39,A,T-39,43.66346793,-79.41200875,2.679125587,8025.08691,20,6,0.3,14,0.7,0,0,,,,14,2,0.142857143,20,0.4
40,T,40,A,T-40,43.6571995,-79.40756003,2.196430572,11364.2207,20,3,0.15,17,0.85,17,4,0.235294118,20,0.35,0,0,,,
41,T,41,A,T-41,43.64994276,-79.404773,2.084572866,14161.99512,20,1,0.05,19,0.95,0,0,,,,19,6,0.315789474,20,0.35
42,T,42,A,T-42,43.64299751,-79.40337219,2.359796794,14161.99512,20,3,0.15,17,0.85,17,6,0.352941176,20,0.45,0,0,,,
43,T,43,A,T-43,43.63471312,-79.39920481,2.822996179,15644.37012,20,3,0.15,17,0.85,0,0,,,,17,6,0.352941176,20,0.45
44,T,44,,T-44,43.9245128,-79.08185722,38.27093784,7.66973,20,8,0.4,12,0.6,12,5,0.416666667,20,0.65,0,0,,,
45,T,45,,T-45,43.93313507,-79.06836318,39.69624114,130.68802,17,0,0,17,1,0,0,,,,17,2,0.117647059,17,0.117647059
46,T,46,,T-46,43.93306056,-79.0570302,40.26980955,51.0061,20,3,0.15,17,0.85,16,2,0.125,19,0.263157895,0,0,,,
47,T,47,,T-47,43.93348371,-79.0469891,40.82921112,5.99854,20,10,0.5,10,0.5,0,0,,,,10,0,0,20,0.5
48,T,48,,T-48,43.93653932,-79.03338044,41.80543287,17.92999,20,17,0.85,3,0.15,3,2,0.666666667,20,0.95,0,0,,,
49,T,49,,T-49,43.93848157,-79.02309311,42.51875751,11.73823,20,5,0.25,15,0.75,0,0,,,,13,2,0.153846154,18,0.388888889
