City,Population,Transect,Lat.pop,Long.pop,MWT,MST
Charlotte,8,NA,35.229360000000000,-80.842314000000002,-1.50000,32.20000
Charlotte,9,NA,35.240147999999998,-80.855940000000004,-1.50000,32.40000
Charlotte,10,NA,35.244373000000003,-80.863389999999995,-1.60000,32.30000
Charlotte,11,NA,35.250673999999997,-80.870014999999995,-1.60000,32.40000
Charlotte,12,NA,35.258284000000003,-80.877584999999996,-1.60000,32.30000
Charlotte,13,NA,35.265116999999996,-80.883306000000005,-1.60000,32.30000
Charlotte,14,NA,35.273859999999999,-80.890795999999995,-1.60000,32.20000
Charlotte,15,NA,35.280285999999997,-80.902495000000002,-1.60000,32.10000
Charlotte,16,NA,35.281323999999998,-80.913456999999994,-1.60000,32.10000
Charlotte,17,NA,35.286743000000001,-80.922736999999998,-1.70000,32.20000
Charlotte,18,NA,35.293627999999998,-80.930695000000000,-1.80000,32.40000
Charlotte,19,NA,35.302275000000002,-80.936493999999996,-1.90000,32.50000
Charlotte,20,NA,35.316910999999998,-80.943556000000001,-2.00000,32.50000
Charlotte,21,NA,35.320359000000003,-80.952382000000000,-2.00000,32.50000
Charlotte,22,NA,35.331404999999997,-80.958572000000004,-2.00000,32.50000
Charlotte,23,NA,35.344875999999999,-80.967433999999997,-2.00000,32.50000
Charlotte,24,NA,35.357992000000003,-80.989697000000007,-2.20000,32.40000
Charlotte,25,NA,35.364888999999998,-80.997855999999999,-2.30000,32.50000
Charlotte,26,NA,35.376333000000002,-81.003551999999999,-2.40000,32.50000
Charlotte,27,NA,35.387481000000001,-81.009826000000004,-2.50000,32.50000
Charlotte,28,NA,35.399819000000001,-81.008975000000007,-2.50000,32.50000
Charlotte,29,NA,35.416454000000002,-81.010610999999997,-2.60000,32.60000
Charlotte,30,NA,35.429988999999999,-81.011184999999998,-2.60000,32.60000
Charlotte,31,NA,35.443641999999997,-80.997709999999998,-2.60000,32.40000
Charlotte,32,NA,35.462018000000000,-80.992411000000004,-2.60000,32.30000
Charlotte,33,NA,35.475416000000003,-81.001209000000003,-2.70000,32.40000
Charlotte,34,NA,35.488836999999997,-81.018643999999995,-2.70000,32.40000
Charlotte,35,NA,35.496606999999997,-81.019761000000003,-2.70000,32.30000
Charlotte,36,NA,35.498083000000001,-81.043424999999999,-2.80000,32.40000
Charlotte,37,NA,35.503154000000002,-81.050910000000002,-2.90000,32.30000
Charlotte,38,NA,35.515315999999999,-81.059032999999999,-2.90000,32.20000
Charlotte,39,NA,35.525837000000003,-81.058781999999994,-2.80000,32.10000
Charlotte,40,NA,35.538963000000003,-81.065686999999997,-2.80000,32.00000
Norfolk,1,NA,36.525734000000000,-76.249270999999993,-1.00000,32.30000
Norfolk,2,NA,36.533611000000001,-76.250144000000006,-1.00000,32.30000
Norfolk,3,NA,36.547404000000000,-76.242497999999998,-0.90000,32.30000
Norfolk,4,NA,36.551476999999998,-76.231768000000002,-0.90000,32.20000
Norfolk,5,NA,36.559063000000002,-76.227748000000005,-0.90000,32.20000
Norfolk,6,NA,36.559572000000003,-76.215361999999999,-0.90000,32.20000
Norfolk,7,NA,36.561526999999998,-76.201243000000005,-0.90000,32.20000
Norfolk,8,NA,36.575296999999999,-76.200137999999995,-0.80000,32.30000
Norfolk,9,NA,36.587978999999997,-76.205731999999998,-0.90000,32.20000
Norfolk,10,NA,36.598354000000000,-76.209854000000007,-0.90000,32.20000
Norfolk,11,NA,36.605777000000003,-76.210656000000000,-0.90000,32.20000
Norfolk,12,NA,36.619210000000002,-76.211040999999994,-0.90000,32.20000
Norfolk,13,NA,36.631025000000001,-76.208697999999998,-0.90000,32.20000
Norfolk,14,NA,36.644722000000002,-76.216358999999997,-0.80000,32.10000
Norfolk,15,NA,36.654204999999997,-76.223185999999998,-0.80000,32.00000
Norfolk,16,NA,36.666569000000003,-76.226393000000002,-0.70000,31.90000
Norfolk,17,NA,36.675113000000003,-76.226348999999999,-0.60000,31.80000
Norfolk,18,NA,36.686554999999998,-76.229693999999995,-0.60000,31.80000
Norfolk,19,NA,36.697414000000002,-76.232787999999999,-0.60000,31.70000
Norfolk,20,NA,36.706203000000002,-76.235476000000006,-0.50000,31.60000
Norfolk,21,NA,36.715957000000003,-76.238298999999998,-0.50000,31.60000
Norfolk,22,NA,36.725735000000000,-76.242221000000001,-0.50000,31.50000
